query,case,seed,run_idx,runtime_seconds,Join1-probe,Join1-build,Join1-build_rows,Join1-instantiated,Join1-state,Join1-total_probes,Join1-probes_at_freeze,Join1-freeze_reason,Join1-probes_at_abandon,Join1-abandon_reason,Join1-inserts,Join1-u1,Join2-probe,Join2-build,Join2-build_rows,Join2-instantiated,Join2-state,Join2-total_probes,Join2-probes_at_freeze,Join2-freeze_reason,Join2-probes_at_abandon,Join2-abandon_reason,Join2-inserts,Join2-u1,Join3-probe,Join3-build,Join3-build_rows,Join3-instantiated,Join3-state,Join3-total_probes,Join3-probes_at_freeze,Join3-freeze_reason,Join3-probes_at_abandon,Join3-abandon_reason,Join3-inserts,Join3-u1,Join4-probe,Join4-build,Join4-build_rows,Join4-instantiated,Join4-state,Join4-total_probes,Join4-probes_at_freeze,Join4-freeze_reason,Join4-probes_at_abandon,Join4-abandon_reason,Join4-inserts,Join4-u1,Join5-probe,Join5-build,Join5-build_rows,Join5-instantiated,Join5-state,Join5-total_probes,Join5-probes_at_freeze,Join5-freeze_reason,Join5-probes_at_abandon,Join5-abandon_reason,Join5-inserts,Join5-u1,Join6-probe,Join6-build,Join6-build_rows,Join6-instantiated,Join6-state,Join6-total_probes,Join6-probes_at_freeze,Join6-freeze_reason,Join6-probes_at_abandon,Join6-abandon_reason,Join6-inserts,Join6-u1,Join7-probe,Join7-build,Join7-build_rows,Join7-instantiated,Join7-state,Join7-total_probes,Join7-probes_at_freeze,Join7-freeze_reason,Join7-probes_at_abandon,Join7-abandon_reason,Join7-inserts,Join7-u1,Join8-probe,Join8-build,Join8-build_rows,Join8-instantiated,Join8-state,Join8-total_probes,Join8-probes_at_freeze,Join8-freeze_reason,Join8-probes_at_abandon,Join8-abandon_reason,Join8-inserts,Join8-u1,Join9-probe,Join9-build,Join9-build_rows,Join9-instantiated,Join9-state,Join9-total_probes,Join9-probes_at_freeze,Join9-freeze_reason,Join9-probes_at_abandon,Join9-abandon_reason,Join9-inserts,Join9-u1,Join10-probe,Join10-build,Join10-build_rows,Join10-instantiated,Join10-state,Join10-total_probes,Join10-probes_at_freeze,Join10-freeze_reason,Join10-probes_at_abandon,Join10-abandon_reason,Join10-inserts,Join10-u1,Join11-probe,Join11-build,Join11-build_rows,Join11-instantiated,Join11-state,Join11-total_probes,Join11-probes_at_freeze,Join11-freeze_reason,Join11-probes_at_abandon,Join11-abandon_reason,Join11-inserts,Join11-u1,Join12-probe,Join12-build,Join12-build_rows,Join12-instantiated,Join12-state,Join12-total_probes,Join12-probes_at_freeze,Join12-freeze_reason,Join12-probes_at_abandon,Join12-abandon_reason,Join12-inserts,Join12-u1,Join13-probe,Join13-build,Join13-build_rows,Join13-instantiated,Join13-state,Join13-total_probes,Join13-probes_at_freeze,Join13-freeze_reason,Join13-probes_at_abandon,Join13-abandon_reason,Join13-inserts,Join13-u1,Join14-probe,Join14-build,Join14-build_rows,Join14-instantiated,Join14-state,Join14-total_probes,Join14-probes_at_freeze,Join14-freeze_reason,Join14-probes_at_abandon,Join14-abandon_reason,Join14-inserts,Join14-u1,Join15-probe,Join15-build,Join15-build_rows,Join15-instantiated,Join15-state,Join15-total_probes,Join15-probes_at_freeze,Join15-freeze_reason,Join15-probes_at_abandon,Join15-abandon_reason,Join15-inserts,Join15-u1,Join16-probe,Join16-build,Join16-build_rows,Join16-instantiated,Join16-state,Join16-total_probes,Join16-probes_at_freeze,Join16-freeze_reason,Join16-probes_at_abandon,Join16-abandon_reason,Join16-inserts,Join16-u1
1a,1,3,1,0.89,,info_type,1,0,never_instantiated,0,,,,,0,0,,movie_info_idx,1380011,0,never_instantiated,0,,,,,0,0,,title,2525744,0,never_instantiated,0,,,,,0,0,movie_companies,company_type,1,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1b,1,5,1,0.59,,info_type,1,0,never_instantiated,0,,,,,0,0,,company_type,1,0,never_instantiated,0,,,,,0,0,,movie_info_idx,1380011,0,never_instantiated,0,,,,,0,0,movie_companies,title,716111,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1c,1,8,1,0.49,,info_type,1,0,never_instantiated,0,,,,,0,0,,company_type,1,0,never_instantiated,0,,,,,0,0,,movie_info_idx,1380011,0,never_instantiated,0,,,,,0,0,movie_companies,title,391512,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1d,1,8,1,0.72,,info_type,1,0,never_instantiated,0,,,,,0,0,,company_type,1,0,never_instantiated,0,,,,,0,0,,movie_info_idx,1380011,0,never_instantiated,0,,,,,0,0,movie_companies,title,1381089,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2a,1,6,1,1.02,,company_name,9775,0,never_instantiated,0,,,,,0,0,,movie_companies,2609129,0,never_instantiated,0,,,,,0,0,,title,2525744,0,never_instantiated,0,,,,,0,0,movie_keyword,keyword,1,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2b,1,3,1,1.03,,company_name,2340,0,never_instantiated,0,,,,,0,0,,movie_companies,2609129,0,never_instantiated,0,,,,,0,0,,title,2525744,0,never_instantiated,0,,,,,0,0,movie_keyword,keyword,1,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2c,1,5,1,1.02,,keyword,1,0,never_instantiated,0,,,,,0,0,,company_name,1,0,never_instantiated,0,,,,,0,0,,movie_companies,2609129,0,never_instantiated,0,,,,,0,0,movie_keyword,title,2525744,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2d,1,5,1,1.04,,keyword,1,0,never_instantiated,0,,,,,0,0,,company_name,84843,0,never_instantiated,0,,,,,0,0,,movie_companies,2609129,0,never_instantiated,0,,,,,0,0,movie_keyword,title,2525744,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3a,1,4,1,2.50,,title,1012683,0,never_instantiated,0,,,,,0,0,,keyword,30,0,never_instantiated,0,,,,,0,0,,movie_keyword,4523930,0,never_instantiated,0,,,,,0,0,movie_info,,8,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b,1,8,1,1.57,,keyword,30,0,never_instantiated,0,,,,,0,0,,title,391549,0,never_instantiated,0,,,,,0,0,movie_info,movie_keyword,4523930,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3c,1,4,1,2.84,,title,1748483,0,never_instantiated,0,,,,,0,0,,keyword,30,0,never_instantiated,0,,,,,0,0,,movie_keyword,4523930,0,never_instantiated,0,,,,,0,0,movie_info,,10,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4a,1,1,1,0.87,,title,1012657,0,never_instantiated,0,,,,,0,0,,info_type,1,0,never_instantiated,0,,,,,0,0,,keyword,30,0,never_instantiated,0,,,,,0,0,movie_keyword,movie_info_idx,517682,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4b,1,7,1,0.55,,keyword,30,0,never_instantiated,0,,,,,0,0,,title,391525,0,never_instantiated,0,,,,,0,0,,info_type,1,0,never_instantiated,0,,,,,0,0,movie_keyword,movie_info_idx,8322,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4c,1,1,1,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a,1,5,1,2.38,,info_type,110,0,never_instantiated,0,,,,,0,0,,company_type,1,0,never_instantiated,0,,,,,0,0,,movie_companies,24025,0,never_instantiated,0,,,,,0,0,,title,1012641,0,never_instantiated,0,,,,,0,0,movie_info,,8,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b,1,8,1,1.65,,info_type,110,0,never_instantiated,0,,,,,0,0,,company_type,1,0,never_instantiated,0,,,,,0,0,,movie_companies,1418,0,never_instantiated,0,,,,,0,0,movie_info,title,391512,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c,1,9,1,2.72,,title,1748440,0,never_instantiated,0,,,,,0,0,,company_type,1,0,never_instantiated,0,,,,,0,0,,movie_companies,295628,0,never_instantiated,0,,,,,0,0,,info_type,110,0,never_instantiated,0,,,,,0,0,movie_info,,10,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6a,1,2,1,1.02,,name,2,0,never_instantiated,0,,,,,0,0,,keyword,1,0,never_instantiated,0,,,,,0,0,,movie_keyword,4523930,0,never_instantiated,0,,,,,0,0,cast_info,title,391549,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6b,1,4,1,0.94,,,8,0,never_instantiated,0,,,,,0,0,,title,438,0,never_instantiated,0,,,,,0,0,,movie_keyword,4523930,0,never_instantiated,0,,,,,0,0,cast_info,name,2,0,never_instantiated,0,,,,,0,0,keyword,,8,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6c,1,4,1,0.93,,keyword,1,0,never_instantiated,0,,,,,0,0,,title,438,0,never_instantiated,0,,,,,0,0,,movie_keyword,4523930,0,never_instantiated,0,,,,,0,0,cast_info,name,2,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6d,1,1,1,1.16,,title,1381132,0,never_instantiated,0,,,,,0,0,,,8,0,never_instantiated,0,,,,,0,0,,movie_keyword,4523930,0,never_instantiated,0,,,,,0,0,cast_info,name,2,0,never_instantiated,0,,,,,0,0,keyword,,8,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6e,1,2,1,1.15,,name,2,0,never_instantiated,0,,,,,0,0,,keyword,1,0,never_instantiated,0,,,,,0,0,,movie_keyword,4523930,0,never_instantiated,0,,,,,0,0,cast_info,title,1381132,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6f,1,3,1,15.88,,title,1381132,0,never_instantiated,0,,,,,0,0,,name,4061926,0,never_instantiated,0,,,,,0,0,,,8,0,never_instantiated,0,,,,,0,0,cast_info,movie_keyword,4523930,0,never_instantiated,0,,,,,0,0,keyword,,8,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7a,1,5,1,3.27,,name,543290,0,never_instantiated,0,,,,,0,0,,info_type,1,0,never_instantiated,0,,,,,0,0,,person_info,62,0,never_instantiated,0,,,,,0,0,,link_type,1,0,never_instantiated,0,,,,,0,0,,aka_name,578324,0,never_instantiated,0,,,,,0,0,,movie_link,29997,0,never_instantiated,0,,,,,0,0,cast_info,title,339773,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7b,1,7,1,2.51,,link_type,1,0,never_instantiated,0,,,,,0,0,,info_type,1,0,never_instantiated,0,,,,,0,0,,title,75965,0,never_instantiated,0,,,,,0,0,,person_info,62,0,never_instantiated,0,,,,,0,0,,name,91976,0,never_instantiated,0,,,,,0,0,,aka_name,578324,0,never_instantiated,0,,,,,0,0,cast_info,movie_link,29997,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7c,1,6,1,5.49,,title,1554453,0,never_instantiated,0,,,,,0,0,,name,507620,0,never_instantiated,0,,,,,0,0,,info_type,1,0,never_instantiated,0,,,,,0,0,,person_info,80824,0,never_instantiated,0,,,,,0,0,,link_type,4,0,never_instantiated,0,,,,,0,0,,movie_link,29997,0,never_instantiated,0,,,,,0,0,cast_info,aka_name,588268,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8a,1,6,1,1.60,,name,20186,0,never_instantiated,0,,,,,0,0,,aka_name,772581,0,never_instantiated,0,,,,,0,0,,company_name,6752,0,never_instantiated,0,,,,,0,0,,title,2525744,0,never_instantiated,0,,,,,0,0,,movie_companies,48897,0,never_instantiated,0,,,,,0,0,cast_info,role_type,1,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8b,1,8,1,1.27,,company_name,6752,0,never_instantiated,0,,,,,0,0,,movie_companies,8569,0,never_instantiated,0,,,,,0,0,,title,7,0,never_instantiated,0,,,,,0,0,,role_type,1,0,never_instantiated,0,,,,,0,0,,name,20186,0,never_instantiated,0,,,,,0,0,cast_info,aka_name,772581,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8c,1,9,1,2.80,,role_type,1,0,never_instantiated,0,,,,,0,0,,aka_name,772581,0,never_instantiated,0,,,,,0,0,,company_name,84843,0,never_instantiated,0,,,,,0,0,,movie_companies,2609129,0,never_instantiated,0,,,,,0,0,,name,4061923,0,never_instantiated,0,,,,,0,0,cast_info,title,2525744,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8d,1,7,1,1.58,,aka_name,772581,0,never_instantiated,0,,,,,0,0,,role_type,1,0,never_instantiated,0,,,,,0,0,,company_name,84843,0,never_instantiated,0,,,,,0,0,,movie_companies,2609129,0,never_instantiated,0,,,,,0,0,,title,2525744,0,never_instantiated,0,,,,,0,0,cast_info,name,4061923,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9a,1,1,1,2.24,,company_name,84843,0,never_instantiated,0,,,,,0,0,,movie_companies,590994,0,never_instantiated,0,,,,,0,0,,title,1107586,0,never_instantiated,0,,,,,0,0,,name,6768,0,never_instantiated,0,,,,,0,0,,aka_name,772581,0,never_instantiated,0,,,,,0,0,,role_type,1,0,never_instantiated,0,,,,,0,0,cast_info,char_name,3140339,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9b,1,7,1,1.90,,name,5409,0,never_instantiated,0,,,,,0,0,,aka_name,772581,0,never_instantiated,0,,,,,0,0,,role_type,1,0,never_instantiated,0,,,,,0,0,,company_name,84843,0,never_instantiated,0,,,,,0,0,,movie_companies,198519,0,never_instantiated,0,,,,,0,0,,title,512721,0,never_instantiated,0,,,,,0,0,cast_info,char_name,3140339,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9c,1,0,1,2.47,,title,2525744,0,never_instantiated,0,,,,,0,0,,role_type,1,0,never_instantiated,0,,,,,0,0,,name,50011,0,never_instantiated,0,,,,,0,0,,company_name,84843,0,never_instantiated,0,,,,,0,0,,movie_companies,2609129,0,never_instantiated,0,,,,,0,0,,char_name,3140339,0,never_instantiated,0,,,,,0,0,cast_info,aka_name,772581,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9d,1,2,1,2.70,,role_type,1,0,never_instantiated,0,,,,,0,0,,char_name,3140339,0,never_instantiated,0,,,,,0,0,,name,961555,0,never_instantiated,0,,,,,0,0,,title,2525744,0,never_instantiated,0,,,,,0,0,,company_name,84843,0,never_instantiated,0,,,,,0,0,,aka_name,772581,0,never_instantiated,0,,,,,0,0,cast_info,movie_companies,2609129,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10a,1,5,1,1.93,,char_name,3140339,0,never_instantiated,0,,,,,0,0,,title,1012641,0,never_instantiated,0,,,,,0,0,,company_name,1361,0,never_instantiated,0,,,,,0,0,,role_type,1,0,never_instantiated,0,,,,,0,0,,company_type,2,0,never_instantiated,0,,,,,0,0,cast_info,movie_companies,2609129,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10b,1,6,1,1.81,,title,391512,0,never_instantiated,0,,,,,0,0,,company_name,1361,0,never_instantiated,0,,,,,0,0,,company_type,2,0,never_instantiated,0,,,,,0,0,,char_name,3140339,0,never_instantiated,0,,,,,0,0,,movie_companies,2609129,0,never_instantiated,0,,,,,0,0,cast_info,role_type,1,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10c,1,1,1,2.90,,company_name,84843,0,never_instantiated,0,,,,,0,0,,title,1748440,0,never_instantiated,0,,,,,0,0,,company_type,2,0,never_instantiated,0,,,,,0,0,,char_name,3140339,0,never_instantiated,0,,,,,0,0,,role_type,11,0,never_instantiated,0,,,,,0,0,cast_info,movie_companies,2609129,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11a,1,6,1,0.44,,keyword,1,0,never_instantiated,0,,,,,0,0,,company_name,48302,0,never_instantiated,0,,,,,0,0,,company_type,1,0,never_instantiated,0,,,,,0,0,,movie_companies,49141,0,never_instantiated,0,,,,,0,0,,title,59831,0,never_instantiated,0,,,,,0,0,,link_type,2,0,never_instantiated,0,,,,,0,0,movie_keyword,movie_link,29997,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11b,1,2,1,0.52,,link_type,1,0,never_instantiated,0,,,,,0,0,,company_name,48302,0,never_instantiated,0,,,,,0,0,,keyword,1,0,never_instantiated,0,,,,,0,0,,title,2,0,never_instantiated,0,,,,,0,0,,company_type,1,0,never_instantiated,0,,,,,0,0,,movie_companies,49141,0,never_instantiated,0,,,,,0,0,movie_keyword,movie_link,29997,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11c,1,1,1,0.51,,link_type,17,0,never_instantiated,0,,,,,0,0,,company_type,1,0,never_instantiated,0,,,,,0,0,,keyword,3,0,never_instantiated,0,,,,,0,0,,company_name,89,0,never_instantiated,0,,,,,0,0,,title,177923,0,never_instantiated,0,,,,,0,0,,movie_link,29997,0,never_instantiated,0,,,,,0,0,movie_keyword,movie_companies,50735,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11d,1,4,1,0.53,,company_type,1,0,never_instantiated,0,,,,,0,0,,company_name,210031,0,never_instantiated,0,,,,,0,0,,movie_companies,50735,0,never_instantiated,0,,,,,0,0,,link_type,17,0,never_instantiated,0,,,,,0,0,,movie_link,29997,0,never_instantiated,0,,,,,0,0,,title,177923,0,never_instantiated,0,,,,,0,0,movie_keyword,keyword,3,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12a,1,4,1,0.77,,company_type,1,0,never_instantiated,0,,,,,0,0,,company_name,84843,0,never_instantiated,0,,,,,0,0,,movie_companies,2609129,0,never_instantiated,0,,,,,0,0,,info_type,1,0,never_instantiated,0,,,,,0,0,,movie_info_idx,52629,0,never_instantiated,0,,,,,0,0,,title,445782,0,never_instantiated,0,,,,,0,0,movie_info,info_type,1,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
